size,density,bfs_cost,bfs_time,ucs_cost,ucs_time,greedy_cost,greedy_time,astar_cost,astar_time,mcts_cost,mcts_time,best_algorithm
10,0.2562959855188658,91,4.9114227294921875e-05,83,7.486343383789062e-05,112,2.2172927856445312e-05,83,7.510185241699219e-05,446,0.21729087829589844,ucs
20,0.25254559978929636,148,0.00023293495178222656,114,0.0003268718719482422,134,4.6253204345703125e-05,114,0.00028896331787109375,26628,1.255828857421875,astar
10,0.33583991597386376,114,5.316734313964844e-05,100,8.392333984375e-05,106,3.0040740966796875e-05,100,8.487701416015625e-05,3810,0.35790205001831055,ucs
10,0.3204033083979757,86,4.506111145019531e-05,77,6.794929504394531e-05,81,2.5033950805664062e-05,77,6.890296936035156e-05,11496,0.46766018867492676,ucs
20,0.29210521594601446,195,0.0001850128173828125,147,0.00028204917907714844,201,4.601478576660156e-05,147,0.0002923011779785156,52516,0.93743896484375,ucs
10,0.47650610443340463,68,4.1961669921875e-05,62,6.079673767089844e-05,69,2.7894973754882812e-05,62,6.103515625e-05,2285,0.3863091468811035,ucs
10,0.21547459630507335,78,6.008148193359375e-05,60,9.417533874511719e-05,78,3.075599670410156e-05,60,9.322166442871094e-05,1739,0.27495574951171875,astar
10,0.32754237053420804,85,8.392333984375e-05,59,8.0108642578125e-05,74,4.029273986816406e-05,59,8.559226989746094e-05,4349,0.36680006980895996,ucs
10,0.3397604301089384,86,5.412101745605469e-05,57,8.606910705566406e-05,64,2.2172927856445312e-05,57,0.00010395050048828125,965,0.39536190032958984,ucs
10,0.3308751585291776,77,4.792213439941406e-05,77,6.914138793945312e-05,135,3.910064697265625e-05,77,6.198883056640625e-05,10289,0.4318728446960449,bfs
10,0.2018921129328278,71,6.389617919921875e-05,52,9.417533874511719e-05,63,2.4080276489257812e-05,52,8.797645568847656e-05,1085,0.26822328567504883,astar
10,0.20659749693182022,71,5.984306335449219e-05,60,8.20159912109375e-05,80,2.6702880859375e-05,60,7.486343383789062e-05,1145,0.21343493461608887,astar
20,0.3320265638987402,180,0.0001709461212158203,147,0.00020003318786621094,242,8.296966552734375e-05,147,0.00017833709716796875,14124,1.4471778869628906,astar
10,0.36140596944391035,107,4.792213439941406e-05,79,6.699562072753906e-05,95,2.2172927856445312e-05,79,6.818771362304688e-05,730,0.16179800033569336,ucs
20,0.22284226080592295,159,0.0002582073211669922,105,0.00040793418884277344,181,5.0067901611328125e-05,105,0.0004181861877441406,17967,1.9453580379486084,ucs
10,0.2712420719634741,66,5.7220458984375e-05,45,7.605552673339844e-05,95,2.288818359375e-05,45,5.602836608886719e-05,394,0.3688797950744629,astar
20,0.2067617648387425,194,0.00025773048400878906,127,0.00039196014404296875,221,6.508827209472656e-05,127,0.00043272972106933594,23847,1.2292208671569824,ucs
20,0.23063953911059465,247,0.000247955322265625,166,0.0003809928894042969,196,5.1975250244140625e-05,166,0.00040531158447265625,26730,2.039299964904785,ucs
10,0.3706280211083467,99,2.7894973754882812e-05,92,4.1961669921875e-05,94,2.09808349609375e-05,92,4.076957702636719e-05,3739,0.1423509120941162,astar
20,0.327485050007687,201,0.00021004676818847656,180,0.0003199577331542969,278,7.987022399902344e-05,180,0.0003330707550048828,30351,2.3583757877349854,ucs
20,0.29470257260613714,185,0.00024008750915527344,124,0.00035381317138671875,191,4.982948303222656e-05,124,0.00034308433532714844,15986,1.2697536945343018,astar
10,0.21132909065568123,91,5.793571472167969e-05,54,9.107589721679688e-05,121,2.6941299438476562e-05,54,8.296966552734375e-05,2646,0.3476369380950928,astar
10,0.2339209175020161,94,6.103515625e-05,73,8.797645568847656e-05,82,2.09808349609375e-05,73,9.083747863769531e-05,2239,0.13125395774841309,ucs
10,0.20562280442372308,77,6.198883056640625e-05,75,9.703636169433594e-05,99,2.384185791015625e-05,75,0.00010228157043457031,4708,0.24485206604003906,ucs
10,0.3840352821904083,57,4.38690185546875e-05,55,7.033348083496094e-05,76,3.314018249511719e-05,55,6.389617919921875e-05,3091,0.31611013412475586,astar
20,0.2972791062588671,160,0.00018286705017089844,117,0.0002510547637939453,149,5.412101745605469e-05,117,0.00021195411682128906,15809,1.153991937637329,astar
20,0.2926542338879934,165,0.0002269744873046875,148,0.0003559589385986328,164,6.413459777832031e-05,148,0.0003979206085205078,196405,2.797856092453003,ucs
10,0.25539643483425517,106,6.4849853515625e-05,57,9.894371032714844e-05,85,2.4080276489257812e-05,57,9.608268737792969e-05,3055,0.45155906677246094,astar
10,0.2958681436139225,90,6.604194641113281e-05,82,9.799003601074219e-05,82,2.5987625122070312e-05,82,0.0001010894775390625,4137,0.2513461112976074,greedy
10,0.2786579225157834,95,6.29425048828125e-05,52,8.916854858398438e-05,78,2.2172927856445312e-05,52,8.20159912109375e-05,457,0.17982006072998047,astar
10,0.20833732221865356,81,6.413459777832031e-05,64,9.703636169433594e-05,104,3.0040740966796875e-05,64,0.00010275840759277344,4108,0.14780473709106445,ucs
10,0.3991865421335098,78,3.62396240234375e-05,78,5.3882598876953125e-05,101,2.002716064453125e-05,78,5.316734313964844e-05,817,0.23218512535095215,bfs
10,0.32936140971883654,76,5.0067901611328125e-05,76,6.914138793945312e-05,90,3.600120544433594e-05,76,5.888938903808594e-05,660,0.2769942283630371,bfs
20,0.29425654698203374,189,0.00020599365234375,155,0.00030493736267089844,184,4.887580871582031e-05,155,0.0003190040588378906,3365,2.717613935470581,ucs
20,0.21465173880858152,218,0.0002391338348388672,125,0.00037384033203125,220,5.030632019042969e-05,125,0.0003991127014160156,40457,1.302643060684204,ucs
10,0.20395810475680493,74,6.890296936035156e-05,52,0.0001049041748046875,74,3.910064697265625e-05,52,0.00010800361633300781,2574,0.5376861095428467,ucs
10,0.26300677161930913,106,5.2928924560546875e-05,68,8.0108642578125e-05,81,2.002716064453125e-05,68,7.987022399902344e-05,953,0.20617127418518066,astar
20,0.2983745947393301,173,0.00021505355834960938,133,0.00029397010803222656,166,6.67572021484375e-05,133,0.00026488304138183594,19127,1.6259629726409912,astar
10,0.22678130192276386,80,5.698204040527344e-05,69,9.274482727050781e-05,107,3.1948089599609375e-05,69,8.821487426757812e-05,2183,0.4626631736755371,astar
10,0.24987596021458183,57,4.8160552978515625e-05,53,6.699562072753906e-05,72,2.09808349609375e-05,53,6.198883056640625e-05,998,0.18938493728637695,astar
10,0.23721258611933646,95,5.626678466796875e-05,76,8.392333984375e-05,80,2.09808349609375e-05,76,8.797645568847656e-05,20926,0.32787013053894043,ucs
10,0.3281894865591505,67,6.008148193359375e-05,54,8.392333984375e-05,96,3.600120544433594e-05,54,7.677078247070312e-05,3550,0.38024210929870605,astar
10,0.2488743143514645,101,6.413459777832031e-05,63,9.012222290039062e-05,79,2.5987625122070312e-05,63,9.298324584960938e-05,167,0.22307920455932617,ucs
20,0.22553108027946897,132,0.00024390220642089844,108,0.0003600120544433594,164,4.982948303222656e-05,108,0.00037097930908203125,2529,1.1108012199401855,ucs
10,0.2970545045807831,98,6.222724914550781e-05,89,9.322166442871094e-05,138,3.504753112792969e-05,89,9.512901306152344e-05,10225,0.3180410861968994,ucs
10,0.2887507104469964,78,5.1975250244140625e-05,69,7.414817810058594e-05,97,3.0040740966796875e-05,69,7.605552673339844e-05,919,0.40163397789001465,ucs
10,0.2217145190013215,80,6.818771362304688e-05,71,0.00010395050048828125,76,2.5987625122070312e-05,71,0.0001068115234375,1267,0.24045515060424805,ucs
